1 47.073
2 54.720
3 57.847
4 59.449
5 60.467
6 61.510
7 62.059
8 63.105
9 63.769
10 64.460
11 64.472
12 65.096
13 65.470
14 65.652
15 66.314
16 66.532
17 66.698
18 67.302
19 67.429
20 67.781
21 68.174
22 68.508
23 68.880
24 68.805
25 68.992
26 69.162
27 69.608
28 69.774
29 69.868
30 70.243
31 70.385
32 70.483
33 70.775
34 70.662
35 70.972
36 71.099
37 71.376
38 71.464
39 71.730
40 72.177
41 72.153
42 72.436
43 72.533
44 72.648
45 72.986
46 73.018
47 73.079
48 73.503
49 73.488
50 73.452
51 73.673
52 73.701
53 73.882
54 73.854
55 74.226
56 74.102
57 74.341
58 74.316
59 74.388
60 74.518
