1 22.8047
2 34.0140
3 39.9116
4 43.8373
5 46.2364
6 48.0665
7 49.8359
8 51.7643
9 52.4746
10 53.8795
11 54.7928
12 55.7031
13 56.6386
14 56.9065
15 57.7764
16 57.9964
17 59.3885
18 60.5716
19 60.8257
20 61.5055
21 61.6729
22 63.1199
23 63.2361
24 63.2459
25 63.4530
26 64.3603
27 65.6924
28 65.2853
29 66.0495
30 66.4167
31 67.2169
32 66.9928
33 67.9054
34 68.1322
35 68.0661
36 68.1914
37 69.3166
38 69.5978
39 69.5454
40 69.8608
41 70.3202
42 70.8795
43 70.9648
44 71.1822
45 71.6698
46 71.7579
47 72.2163
48 71.9068
49 72.7895
50 72.8428
51 73.3275
52 72.7946
53 73.1279
54 73.7687
55 74.0606
56 74.3021
57 74.5084
58 74.5907
59 74.9191
60 74.9986
61 75.2141
62 75.6076
63 75.3444
64 75.6611
65 76.2761
66 76.2026
67 76.0974
68 76.2573
69 76.7313
70 76.9785
71 77.0305
72 77.2307
73 77.1645
74 77.5462
75 77.5488
76 77.5228
77 77.6062
78 77.8892
79 77.9632
80 78.0617
